rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,pos2.thisRepN,pos2.thisTrialN,pos2.thisN,pos2.thisIndex,reward3.thisRepN,reward3.thisTrialN,reward3.thisN,reward3.thisIndex,pos3.thisRepN,pos3.thisTrialN,pos3.thisN,pos3.thisIndex,reward4.thisRepN,reward4.thisTrialN,reward4.thisN,reward4.thisIndex,pos4.thisRepN,pos4.thisTrialN,pos4.thisN,pos4.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,square_14.started,square_14.stopped,tree1_14.started,tree1_14.stopped,tree2_14.started,tree2_14.stopped,tree3_14.started,tree3_14.stopped,tree4_14.started,tree4_14.stopped,text_2.started,text_2.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.started,skip.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,key_resp.rt,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,square_5.started,square_5.stopped,reward_3.started,reward_3.stopped,resp_3.x,resp_3.y,resp_3.leftButton,resp_3.midButton,resp_3.rightButton,resp_3.clicked_name,resp_3.started,resp_3.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,forward_7.started,forward_7.stopped,key_resp_2.rt,tree1_8.started,tree1_8.stopped,tree2_8.started,tree2_8.stopped,tree3_8.started,tree3_8.stopped,tree4_8.started,tree4_8.stopped,square_8.started,square_8.stopped,tree1_15.started,tree1_15.stopped,tree2_15.started,tree2_15.stopped,tree3_15.started,tree3_15.stopped,tree4_15.started,tree4_15.stopped,square_15.started,square_15.stopped,wait_4.started,wait_4.stopped,forward_4.started,forward_4.stopped,tree1_7.started,tree1_7.stopped,tree2_7.started,tree2_7.stopped,tree3_7.started,tree3_7.stopped,tree4_7.started,tree4_7.stopped,square_7.started,square_7.stopped,reward_4.started,reward_4.stopped,resp_4.x,resp_4.y,resp_4.leftButton,resp_4.midButton,resp_4.rightButton,resp_4.clicked_name,resp_4.started,resp_4.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,forward_8.started,forward_8.stopped,key_resp_3.rt,tree1_9.started,tree1_9.stopped,tree2_9.started,tree2_9.stopped,tree3_9.started,tree3_9.stopped,tree4_9.started,tree4_9.stopped,square_9.started,square_9.stopped,tree1_16.started,tree1_16.stopped,tree2_16.started,tree2_16.stopped,tree3_16.started,tree3_16.stopped,tree4_16.started,tree4_16.stopped,square_16.started,square_16.stopped,wait_5.started,wait_5.stopped,forward_5.started,forward_5.stopped,tree1_10.started,tree1_10.stopped,tree2_10.started,tree2_10.stopped,tree3_10.started,tree3_10.stopped,tree4_10.started,tree4_10.stopped,square_10.started,square_10.stopped,reward_5.started,reward_5.stopped,resp_5.x,resp_5.y,resp_5.leftButton,resp_5.midButton,resp_5.rightButton,resp_5.clicked_name,resp_5.started,resp_5.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,forward_9.started,forward_9.stopped,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90869402885437,None,0.04259259259259259,-0.2074074074074074,1,0,0,square_2,0.01568317413330078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.925112009048462,None,17.925112009048462,None,17.925112009048462,None,17.925112009048462,None,17.925112009048462,None,-0.46944444444444444,-0.17222222222222222,1,0,0,tree1_14,0.007529258728027344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.60799288749695,None,19.60799288749695,None,19.60799288749695,None,19.60799288749695,None,19.60799288749695,None,19.60799288749695,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,None,21.804504871368408,21.804504871368408,22.793608903884888,None,22.793608903884888,None,22.793608903884888,None,22.793608903884888,None,22.793608903884888,None,22.793608903884888,None,-0.46944444444444444,-0.17222222222222222,1,0,0,1.493278980255127,tree1_4,0.00930643081665039,None,22.793608903884888,None,22.793608903884888,22.793608903884888,None,22.793608903884888,None,0.00930643081665039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.332606077194214,None,24.332606077194214,None,24.332606077194214,None,24.332606077194214,None,24.332606077194214,None,24.332606077194214,None,24.332606077194214,None,24.332606077194214,24.332606077194214,25.34618306159973,None,25.34618306159973,None,25.34618306159973,None,25.34618306159973,None,25.34618306159973,None,25.34618306159973,None,-0.5120370370370371,-0.1712962962962963,1,0,0,5.024184942245483,tree1_4,0.013195991516113281,None,25.34618306159973,None,25.34618306159973,25.34618306159973,None,25.34618306159973,None,0.013195991516113281,None,-0.46944444444444444,-0.17222222222222222,1,0,0,0.9541680812835693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
6.2,6.2,6.8,6.1,6.1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.431318044662476,None,30.431318044662476,None,30.431318044662476,None,30.431318044662476,None,30.431318044662476,None,30.431318044662476,None,30.431318044662476,None,30.431318044662476,30.431318044662476,31.455108880996704,None,31.455108880996704,None,31.455108880996704,None,31.455108880996704,None,31.455108880996704,None,31.455108880996704,None,-0.5120370370370371,-0.1712962962962963,1,0,0,0.7658290863037109,tree1_4,0.003380298614501953,None,31.455108880996704,None,31.455108880996704,31.455108880996704,None,31.455108880996704,None,0.003380298614501953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
5.9,5.8,6.3,5.8,5.8,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.270554065704346,None,32.270554065704346,None,32.270554065704346,None,32.270554065704346,None,32.270554065704346,None,32.270554065704346,None,32.270554065704346,None,32.270554065704346,32.270554065704346,33.2934730052948,None,33.2934730052948,None,33.2934730052948,None,33.2934730052948,None,33.2934730052948,None,33.2934730052948,None,-0.5120370370370371,-0.1712962962962963,1,0,0,2.4554431438446045,tree1_4,0.012768268585205078,None,33.2934730052948,None,33.2934730052948,33.2934730052948,None,33.2934730052948,None,0.012768268585205078,None,-0.5120370370370371,-0.1712962962962963,1,0,0,0.9103600978851318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
5.1,5.1,5.9,5.3,5.1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.79978895187378,None,35.79978895187378,None,35.79978895187378,None,35.79978895187378,None,35.79978895187378,None,35.79978895187378,None,35.79978895187378,None,35.79978895187378,35.79978895187378,36.814701080322266,None,36.814701080322266,None,36.814701080322266,None,36.814701080322266,None,36.814701080322266,None,36.814701080322266,None,-0.5120370370370371,-0.1712962962962963,1,0,0,0.9359409809112549,tree1_4,0.013878107070922852,None,36.814701080322266,None,36.814701080322266,36.814701080322266,None,36.814701080322266,None,0.013878107070922852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
4.8,4.6,5.4,4.8,4.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8046669960022,None,37.8046669960022,None,37.8046669960022,None,37.8046669960022,None,37.8046669960022,None,37.8046669960022,None,37.8046669960022,None,37.8046669960022,37.8046669960022,38.82652401924133,None,38.82652401924133,None,38.82652401924133,None,38.82652401924133,None,38.82652401924133,None,38.82652401924133,None,-0.5194444444444445,-0.19074074074074074,1,0,0,5.851197957992554,tree1_4,0.011515140533447266,None,38.82652401924133,None,38.82652401924133,38.82652401924133,None,38.82652401924133,None,0.011515140533447266,None,-0.5120370370370371,-0.1712962962962963,1,0,0,0.8417279720306396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
4.0,4.0,4.6,4.0,4.1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.738911867141724,None,44.738911867141724,None,44.738911867141724,None,44.738911867141724,None,44.738911867141724,None,44.738911867141724,None,44.738911867141724,None,44.738911867141724,44.738911867141724,45.749053955078125,None,45.749053955078125,None,45.749053955078125,None,45.749053955078125,None,45.749053955078125,None,45.749053955078125,None,,,,,,,,0.013387203216552734,None,45.749053955078125,None,45.749053955078125,45.749053955078125,space,45.749053955078125,None,0.013387203216552734,None,,,,,,,0.5902509689331055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4767050743103,None,46.4767050743103,None,46.4767050743103,None,46.4767050743103,None,46.4767050743103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_10_1602,untitled,2020.2.10,59.76571372388645,
