rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,square_14.started,square_14.stopped,tree1_14.started,tree1_14.stopped,tree2_14.started,tree2_14.stopped,tree3_14.started,tree3_14.stopped,tree4_14.started,tree4_14.stopped,text_2.started,text_2.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,6.072188138961792,None,-0.014814814814814815,-0.225,1,0,0,square_2,0.013443470001220703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
,,,,,,,,,,,,,,,,,,,7.099329948425293,None,7.099329948425293,None,7.099329948425293,None,7.099329948425293,None,7.099329948425293,None,-0.46944444444444444,-0.1712962962962963,1,0,0,tree1_14,0.009640932083129883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.712051153182983,None,8.712051153182983,None,8.712051153182983,None,8.712051153182983,None,8.712051153182983,None,8.712051153182983,11.750488996505737,15.150738000869751,None,15.150738000869751,None,15.150738000869751,None,15.150738000869751,None,15.150738000869751,None,15.150738000869751,15.150738000869751,15.150738000869751,None,15.150738000869751,15.150738000869751,0.011111111111111112,-0.18611111111111112,1,0,0,square_18,0.010591506958007812,None,21.212626934051514,None,21.212626934051514,None,21.212626934051514,None,21.212626934051514,None,21.212626934051514,None,21.212626934051514,21.212626934051514,21.212626934051514,None,21.212626934051514,21.212626934051514,21.212626934051514,21.212626934051514,22.239557027816772,None,22.239557027816772,None,22.239557027816772,None,22.239557027816772,None,22.239557027816772,None,22.239557027816772,22.239557027816772,-0.49444444444444446,-0.17962962962962964,1,0,0,1.9666070938110352,tree1_4,0.004009246826171875,None,22.239557027816772,None,22.239557027816772,22.239557027816772,None,22.239557027816772,None,0.004009246826171875,None,22.239557027816772,23.3298180103302,24.28910207748413,None,24.28910207748413,None,24.28910207748413,None,24.28910207748413,None,24.28910207748413,None,24.28910207748413,24.28910207748413,24.28910207748413,None,24.28910207748413,24.28910207748413,24.28910207748413,24.28910207748413,24.28910207748413,None,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
7.1,6.9,7.1,6.6,6.8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.308736085891724,None,25.308736085891724,None,25.308736085891724,None,25.308736085891724,None,25.308736085891724,None,25.308736085891724,25.308736085891724,25.308736085891724,None,25.308736085891724,25.308736085891724,-0.03796296296296296,-0.22037037037037038,1,0,0,square_18,0.013839483261108398,None,26.27868413925171,None,26.27868413925171,None,26.27868413925171,None,26.27868413925171,None,26.27868413925171,None,26.27868413925171,26.27868413925171,26.27868413925171,None,26.27868413925171,26.27868413925171,26.27868413925171,26.27868413925171,27.324769973754883,None,27.324769973754883,None,27.324769973754883,None,27.324769973754883,None,27.324769973754883,None,27.324769973754883,27.324769973754883,-0.4842592592592593,-0.1814814814814815,1,0,0,2.7773449420928955,tree1_4,0.0038263797760009766,None,27.324769973754883,None,27.324769973754883,27.324769973754883,None,27.324769973754883,None,0.0038263797760009766,None,27.324769973754883,28.415642023086548,30.179922103881836,None,30.179922103881836,None,30.179922103881836,None,30.179922103881836,None,30.179922103881836,None,30.179922103881836,30.179922103881836,30.179922103881836,None,30.179922103881836,30.179922103881836,30.179922103881836,30.179922103881836,30.179922103881836,None,-0.4842592592592593,-0.1814814814814815,1,0,0,1.5865261554718018,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
6.2,6.2,6.8,6.1,6.1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.17361807823181,None,31.17361807823181,None,31.17361807823181,None,31.17361807823181,None,31.17361807823181,None,31.17361807823181,31.17361807823181,31.17361807823181,None,31.17361807823181,31.17361807823181,-0.006481481481481481,-0.19537037037037036,1,0,0,square_18,0.014445304870605469,None,31.772184133529663,None,31.772184133529663,None,31.772184133529663,None,31.772184133529663,None,31.772184133529663,None,31.772184133529663,31.772184133529663,31.772184133529663,None,31.772184133529663,31.772184133529663,31.772184133529663,31.772184133529663,32.790847063064575,None,32.790847063064575,None,32.790847063064575,None,32.790847063064575,None,32.790847063064575,None,32.790847063064575,32.790847063064575,-0.4675925925925926,-0.19814814814814816,1,0,0,3.610275983810425,tree1_4,0.003265380859375,None,32.790847063064575,None,32.790847063064575,32.790847063064575,None,32.790847063064575,None,0.003265380859375,None,32.790847063064575,33.888193130493164,36.47527813911438,None,36.47527813911438,None,36.47527813911438,None,36.47527813911438,None,36.47527813911438,None,36.47527813911438,36.47527813911438,36.47527813911438,None,36.47527813911438,36.47527813911438,36.47527813911438,36.47527813911438,36.47527813911438,None,-0.4675925925925926,-0.19814814814814816,1,0,0,2.563178062438965,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
5.9,5.8,6.3,5.8,5.8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.513915061950684,None,37.513915061950684,None,37.513915061950684,None,37.513915061950684,None,37.513915061950684,None,37.513915061950684,37.513915061950684,37.513915061950684,None,37.513915061950684,37.513915061950684,0.018518518518518517,-0.19814814814814816,1,0,0,square_18,0.01331019401550293,None,38.13063311576843,None,38.13063311576843,None,38.13063311576843,None,38.13063311576843,None,38.13063311576843,None,38.13063311576843,38.13063311576843,38.13063311576843,None,38.13063311576843,38.13063311576843,38.13063311576843,38.13063311576843,39.15324807167053,None,39.15324807167053,None,39.15324807167053,None,39.15324807167053,None,39.15324807167053,None,39.15324807167053,39.15324807167053,0.4981481481481482,-0.19537037037037036,1,0,0,1.2051818370819092,squaree,0.0027892589569091797,None,39.15324807167053,None,39.15324807167053,39.15324807167053,None,39.15324807167053,None,0.0027892589569091797,None,39.15324807167053,40.24462008476257,40.443154096603394,None,40.443154096603394,None,40.443154096603394,None,40.443154096603394,None,40.443154096603394,None,40.443154096603394,40.443154096603394,40.443154096603394,None,40.443154096603394,40.443154096603394,40.443154096603394,40.443154096603394,40.443154096603394,None,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
5.1,5.1,5.9,5.3,5.1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.43888998031616,None,41.43888998031616,None,41.43888998031616,None,41.43888998031616,None,41.43888998031616,None,41.43888998031616,41.43888998031616,41.43888998031616,None,41.43888998031616,41.43888998031616,-0.008333333333333333,-0.2,1,0,0,square_18,0.014301300048828125,None,41.92969799041748,None,41.92969799041748,None,41.92969799041748,None,41.92969799041748,None,41.92969799041748,None,41.92969799041748,41.92969799041748,41.92969799041748,None,41.92969799041748,41.92969799041748,41.92969799041748,41.92969799041748,42.96436095237732,None,42.96436095237732,None,42.96436095237732,None,42.96436095237732,None,42.96436095237732,None,42.96436095237732,42.96436095237732,-0.5046296296296297,-0.17685185185185184,1,0,0,1.710805892944336,tree1_4,0.004977703094482422,None,42.96436095237732,None,42.96436095237732,42.96436095237732,None,42.96436095237732,None,0.004977703094482422,None,42.96436095237732,44.07174110412598,44.74400210380554,None,44.74400210380554,None,44.74400210380554,None,44.74400210380554,None,44.74400210380554,None,44.74400210380554,44.74400210380554,44.74400210380554,None,44.74400210380554,44.74400210380554,44.74400210380554,44.74400210380554,44.74400210380554,None,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
4.8,4.6,5.4,4.8,4.6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75475311279297,None,45.75475311279297,None,45.75475311279297,None,45.75475311279297,None,45.75475311279297,None,45.75475311279297,45.75475311279297,45.75475311279297,None,45.75475311279297,45.75475311279297,0.000925925925925926,-0.22870370370370371,1,0,0,square_18,0.0074214935302734375,None,47.02754592895508,None,47.02754592895508,None,47.02754592895508,None,47.02754592895508,None,47.02754592895508,None,47.02754592895508,47.02754592895508,47.02754592895508,None,47.02754592895508,47.02754592895508,47.02754592895508,47.02754592895508,48.04103708267212,None,48.04103708267212,None,48.04103708267212,None,48.04103708267212,None,48.04103708267212,None,48.04103708267212,48.04103708267212,0.000925925925925926,-0.22870370370370371,1,0,0,0.07667279243469238,tree1_4,0.011785268783569336,None,48.04103708267212,None,48.04103708267212,48.04103708267212,None,48.04103708267212,None,0.011785268783569336,None,48.04103708267212,49.147347927093506,52.03800702095032,None,52.03800702095032,None,52.03800702095032,None,52.03800702095032,None,52.03800702095032,None,52.03800702095032,52.03800702095032,52.03800702095032,None,52.03800702095032,52.03800702095032,52.03800702095032,52.03800702095032,52.03800702095032,None,-0.5111111111111111,-0.1935185185185185,1,0,0,1.736429214477539,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
4.0,4.0,4.6,4.0,4.1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.08206605911255,None,53.08206605911255,None,53.08206605911255,None,53.08206605911255,None,53.08206605911255,None,53.08206605911255,53.08206605911255,53.08206605911255,None,53.08206605911255,53.08206605911255,-0.09259259259259259,-0.20925925925925926,1,0,0,square_18,0.01278829574584961,None,54.33298707008362,None,54.33298707008362,None,54.33298707008362,None,54.33298707008362,None,54.33298707008362,None,54.33298707008362,54.33298707008362,54.33298707008362,None,54.33298707008362,54.33298707008362,54.33298707008362,54.33298707008362,55.38752007484436,None,55.38752007484436,None,55.38752007484436,None,55.38752007484436,None,55.38752007484436,None,55.38752007484436,55.38752007484436,-0.4935185185185185,-0.17962962962962964,1,0,0,1.9727320671081543,tree1_4,0.004762411117553711,None,55.38752007484436,None,55.38752007484436,55.38752007484436,None,55.38752007484436,None,0.004762411117553711,None,55.38752007484436,56.446934938430786,57.43530797958374,None,57.43530797958374,None,57.43530797958374,None,57.43530797958374,None,57.43530797958374,None,57.43530797958374,57.43530797958374,57.43530797958374,None,57.43530797958374,57.43530797958374,57.43530797958374,57.43530797958374,57.43530797958374,None,-0.4935185185185185,-0.17962962962962964,1,0,0,0.9162890911102295,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
3.1,3.2,3.9,3.6,3.6,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.46761107444763,None,58.46761107444763,None,58.46761107444763,None,58.46761107444763,None,58.46761107444763,None,58.46761107444763,58.46761107444763,58.46761107444763,None,58.46761107444763,58.46761107444763,0.006481481481481481,-0.21574074074074073,1,0,0,square_18,0.013581514358520508,None,58.801645040512085,None,58.801645040512085,None,58.801645040512085,None,58.801645040512085,None,58.801645040512085,None,58.801645040512085,58.801645040512085,58.801645040512085,None,58.801645040512085,58.801645040512085,58.801645040512085,58.801645040512085,59.824450969696045,None,59.824450969696045,None,59.824450969696045,None,59.824450969696045,None,59.824450969696045,None,59.824450969696045,59.824450969696045,-0.4759259259259259,-0.17777777777777778,1,0,0,1.3366868495941162,tree1_4,0.003178119659423828,None,59.824450969696045,None,59.824450969696045,59.824450969696045,None,59.824450969696045,None,0.003178119659423828,None,59.824450969696045,60.89426112174988,61.239439964294434,None,61.239439964294434,None,61.239439964294434,None,61.239439964294434,None,61.239439964294434,None,61.239439964294434,61.239439964294434,61.239439964294434,None,61.239439964294434,61.239439964294434,61.239439964294434,61.239439964294434,61.239439964294434,None,,,,,,,,001,2021_Jul_14_2018,untitled,2020.2.10,59.70794482326647,
