rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,pos2.thisRepN,pos2.thisTrialN,pos2.thisN,pos2.thisIndex,reward3.thisRepN,reward3.thisTrialN,reward3.thisN,reward3.thisIndex,pos3.thisRepN,pos3.thisTrialN,pos3.thisN,pos3.thisIndex,reward4.thisRepN,reward4.thisTrialN,reward4.thisN,reward4.thisIndex,pos4.thisRepN,pos4.thisTrialN,pos4.thisN,pos4.thisIndex,reward5.thisRepN,reward5.thisTrialN,reward5.thisN,reward5.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,key_resp.rt,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,square_5.started,square_5.stopped,reward_3.started,reward_3.stopped,resp_3.x,resp_3.y,resp_3.leftButton,resp_3.midButton,resp_3.rightButton,resp_3.clicked_name,resp_3.started,resp_3.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,forward_7.started,forward_7.stopped,key_resp_2.rt,tree1_8.started,tree1_8.stopped,tree2_8.started,tree2_8.stopped,tree3_8.started,tree3_8.stopped,tree4_8.started,tree4_8.stopped,square_8.started,square_8.stopped,tree1_15.started,tree1_15.stopped,tree2_15.started,tree2_15.stopped,tree3_15.started,tree3_15.stopped,tree4_15.started,tree4_15.stopped,square_15.started,square_15.stopped,wait_4.started,wait_4.stopped,forward_4.started,forward_4.stopped,tree1_7.started,tree1_7.stopped,tree2_7.started,tree2_7.stopped,tree3_7.started,tree3_7.stopped,tree4_7.started,tree4_7.stopped,square_7.started,square_7.stopped,reward_4.started,reward_4.stopped,resp_4.x,resp_4.y,resp_4.leftButton,resp_4.midButton,resp_4.rightButton,resp_4.clicked_name,resp_4.started,resp_4.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,forward_8.started,forward_8.stopped,key_resp_3.rt,tree1_9.started,tree1_9.stopped,tree2_9.started,tree2_9.stopped,tree3_9.started,tree3_9.stopped,tree4_9.started,tree4_9.stopped,square_9.started,square_9.stopped,tree1_16.started,tree1_16.stopped,tree2_16.started,tree2_16.stopped,tree3_16.started,tree3_16.stopped,tree4_16.started,tree4_16.stopped,square_16.started,square_16.stopped,wait_5.started,wait_5.stopped,forward_5.started,forward_5.stopped,tree1_10.started,tree1_10.stopped,tree2_10.started,tree2_10.stopped,tree3_10.started,tree3_10.stopped,tree4_10.started,tree4_10.stopped,square_10.started,square_10.stopped,reward_5.started,reward_5.stopped,resp_5.x,resp_5.y,resp_5.leftButton,resp_5.midButton,resp_5.rightButton,resp_5.clicked_name,resp_5.started,resp_5.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,forward_9.started,forward_9.stopped,key_resp_4.rt,tree1_17.started,tree1_17.stopped,tree2_17.started,tree2_17.stopped,tree3_17.started,tree3_17.stopped,tree4_17.started,tree4_17.stopped,square_17.started,square_17.stopped,wait_6.started,wait_6.stopped,forward_6.started,forward_6.stopped,tree1_11.started,tree1_11.stopped,tree2_11.started,tree2_11.stopped,tree3_11.started,tree3_11.stopped,tree4_11.started,tree4_11.stopped,square_11.started,square_11.stopped,reward_6.started,reward_6.stopped,resp_6.x,resp_6.y,resp_6.leftButton,resp_6.midButton,resp_6.rightButton,resp_6.clicked_name,resp_6.started,resp_6.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,forward_10.started,forward_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.848666906356812,None,13.911695957183838,None,13.911695957183838,None,13.911695957183838,None,13.911695957183838,None,13.911695957183838,None,13.911695957183838,13.911695957183838,13.911695957183838,None,13.911695957183838,13.911695957183838,0.023148148148148147,-0.1935185185185185,1,0,0,square_18,0.0012011528015136719,None,14.683414936065674,None,14.683414936065674,None,14.683414936065674,None,14.683414936065674,None,14.683414936065674,None,14.683414936065674,14.683414936065674,14.683414936065674,None,14.683414936065674,14.683414936065674,14.683414936065674,14.683414936065674,15.689491987228394,None,15.689491987228394,None,15.689491987228394,None,15.689491987228394,None,15.689491987228394,None,15.689491987228394,15.689491987228394,-0.5185185185185185,-0.18425925925925926,1,0,0,1.3183701038360596,tree1_4,0.012548685073852539,None,15.689491987228394,None,15.689491987228394,15.689491987228394,None,15.689491987228394,None,0.012548685073852539,None,15.689491987228394,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,None,17.06679606437683,17.06679606437683,17.06679606437683,17.06679606437683,17.06679606437683,None,17.06679606437683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
7.1,6.9,7.1,6.6,6.8,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.086750030517578,None,18.086750030517578,None,18.086750030517578,None,18.086750030517578,None,18.086750030517578,None,18.086750030517578,18.086750030517578,18.086750030517578,None,18.086750030517578,18.086750030517578,0.030555555555555555,-0.19537037037037036,1,0,0,square_18,0.013449907302856445,None,18.88450002670288,None,18.88450002670288,None,18.88450002670288,None,18.88450002670288,None,18.88450002670288,None,18.88450002670288,18.88450002670288,18.88450002670288,None,18.88450002670288,18.88450002670288,18.88450002670288,18.88450002670288,19.902721881866455,None,19.902721881866455,None,19.902721881866455,None,19.902721881866455,None,19.902721881866455,None,19.902721881866455,19.902721881866455,-0.4925925925925926,-0.17962962962962964,1,0,0,2.797398090362549,tree1_4,0.013888120651245117,None,19.902721881866455,None,19.902721881866455,19.902721881866455,None,19.902721881866455,None,0.013888120651245117,None,19.902721881866455,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,None,22.774703979492188,22.774703979492188,22.774703979492188,22.774703979492188,22.774703979492188,None,22.774703979492188,None,-0.4925925925925926,-0.17962962962962964,1,0,0,1.5582659244537354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
6.2,6.2,6.8,6.1,6.1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.812747955322266,None,23.812747955322266,None,23.812747955322266,None,23.812747955322266,None,23.812747955322266,None,23.812747955322266,23.812747955322266,23.812747955322266,None,23.812747955322266,23.812747955322266,-0.004629629629629629,-0.17962962962962964,1,0,0,square_18,0.014562129974365234,None,24.403269052505493,None,24.403269052505493,None,24.403269052505493,None,24.403269052505493,None,24.403269052505493,None,24.403269052505493,24.403269052505493,24.403269052505493,None,24.403269052505493,24.403269052505493,24.403269052505493,24.403269052505493,25.41826891899109,None,25.41826891899109,None,25.41826891899109,None,25.41826891899109,None,25.41826891899109,None,25.41826891899109,25.41826891899109,-0.5009259259259259,-0.1712962962962963,1,0,0,1.1407160758972168,tree1_4,0.00432586669921875,None,25.41826891899109,None,25.41826891899109,25.41826891899109,None,25.41826891899109,None,0.00432586669921875,None,25.41826891899109,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,None,26.633393049240112,26.633393049240112,26.633393049240112,26.633393049240112,26.633393049240112,None,26.633393049240112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
5.9,5.8,6.3,5.8,5.8,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.67107391357422,None,27.67107391357422,None,27.67107391357422,None,27.67107391357422,None,27.67107391357422,None,27.67107391357422,27.67107391357422,27.67107391357422,None,27.67107391357422,27.67107391357422,-0.03611111111111111,-0.21574074074074073,1,0,0,square_18,0.007905960083007812,None,33.23265600204468,None,33.23265600204468,None,33.23265600204468,None,33.23265600204468,None,33.23265600204468,None,33.23265600204468,33.23265600204468,33.23265600204468,None,33.23265600204468,33.23265600204468,33.23265600204468,33.23265600204468,34.28515696525574,None,34.28515696525574,None,34.28515696525574,None,34.28515696525574,None,34.28515696525574,None,34.28515696525574,34.28515696525574,,,,,,,,0.004347801208496094,None,34.28515696525574,None,34.28515696525574,34.28515696525574,space,34.28515696525574,None,0.004347801208496094,None,34.28515696525574,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,None,34.8522629737854,34.8522629737854,34.8522629737854,34.8522629737854,34.8522629737854,None,34.8522629737854,None,,,,,,,0.4756958484649658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.2,0.2,0.6,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.90151596069336,None,35.90151596069336,None,35.90151596069336,None,35.90151596069336,None,35.90151596069336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.25,0.15,0.55,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36940288543701,None,36.36940288543701,None,36.36940288543701,None,36.36940288543701,None,36.36940288543701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.3,0.1,0.5,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.867506980895996,None,36.867506980895996,None,36.867506980895996,None,36.867506980895996,None,36.867506980895996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.35,0.05,0.45,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35755491256714,None,37.35755491256714,None,37.35755491256714,None,37.35755491256714,None,37.35755491256714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.4,0.0,0.4,0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.89223003387451,None,37.89223003387451,None,37.89223003387451,None,37.89223003387451,None,37.89223003387451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
,,,,,-0.45,-0.05,0.35,0.6,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38603591918945,None,38.38603591918945,None,38.38603591918945,None,38.38603591918945,None,38.38603591918945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_18_2047,untitled,2020.2.10,59.84587308857375,
