rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.clicked_name,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,9.261664867401123,None,10.302143812179565,None,10.302143812179565,10.302143812179565,10.302143812179565,10.302143812179565,10.302143812179565,10.302143812179565,10.302143812179565,None,10.302143812179565,10.302143812179565,10.302143812179565,None,10.302143812179565,10.302143812179565,-0.019444444444444445,-0.20277777777777778,1,0,0,square_18,0.007295370101928711,None,12.065510034561157,None,12.065510034561157,12.065510034561157,12.065510034561157,12.065510034561157,12.065510034561157,12.065510034561157,12.065510034561157,None,12.065510034561157,12.065510034561157,12.065510034561157,None,12.065510034561157,12.065510034561157,12.065510034561157,12.065510034561157,13.096705913543701,None,13.096705913543701,13.096705913543701,13.096705913543701,13.096705913543701,13.096705913543701,13.096705913543701,13.096705913543701,None,13.096705913543701,13.096705913543701,0.0006976127624511719,0.0006976127624511719,13.096705913543701,None,None,13.096705913543701,13.096705913543701,-0.5101851851851852,-0.1824074074074074,1,0,0,tree1_4,0.0006976127624511719,None,13.096705913543701,None,13.096705913543701,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,None,14.53420901298523,14.53420901298523,14.53420901298523,14.53420901298523,14.53420901298523,None,14.53420901298523,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,15.555173873901367,None,15.555173873901367,15.555173873901367,15.555173873901367,15.555173873901367,15.555173873901367,15.555173873901367,15.555173873901367,None,15.555173873901367,15.555173873901367,15.555173873901367,None,15.555173873901367,15.555173873901367,-0.000925925925925926,-0.18518518518518517,1,0,0,square_18,0.004177570343017578,None,16.704980850219727,None,16.704980850219727,16.704980850219727,16.704980850219727,16.704980850219727,16.704980850219727,16.704980850219727,16.704980850219727,None,16.704980850219727,16.704980850219727,16.704980850219727,None,16.704980850219727,16.704980850219727,16.704980850219727,16.704980850219727,17.737308025360107,None,17.737308025360107,17.737308025360107,17.737308025360107,17.737308025360107,17.737308025360107,17.737308025360107,17.737308025360107,None,17.737308025360107,17.737308025360107,0.0053746700286865234,0.0053746700286865234,17.737308025360107,None,None,17.737308025360107,17.737308025360107,-0.4925925925925926,-0.18796296296296297,1,0,0,tree1_4,0.0053746700286865234,None,17.737308025360107,None,17.737308025360107,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,None,18.97467303276062,18.97467303276062,18.97467303276062,18.97467303276062,18.97467303276062,None,18.97467303276062,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
6.2,6.2,6.8,6.1,6.1,,,,,0,2,2,2,,,,,,,,,,,,,,,19.97759985923767,None,19.97759985923767,19.97759985923767,19.97759985923767,19.97759985923767,19.97759985923767,19.97759985923767,19.97759985923767,None,19.97759985923767,19.97759985923767,19.97759985923767,None,19.97759985923767,19.97759985923767,0.014814814814814815,-0.1962962962962963,1,0,0,square_18,0.014418840408325195,None,20.572129011154175,None,20.572129011154175,20.572129011154175,20.572129011154175,20.572129011154175,20.572129011154175,20.572129011154175,20.572129011154175,None,20.572129011154175,20.572129011154175,20.572129011154175,None,20.572129011154175,20.572129011154175,20.572129011154175,20.572129011154175,21.599713802337646,None,21.599713802337646,21.599713802337646,21.599713802337646,21.599713802337646,21.599713802337646,21.599713802337646,21.599713802337646,None,21.599713802337646,21.599713802337646,0.003098726272583008,0.003098726272583008,21.599713802337646,None,None,21.599713802337646,21.599713802337646,0.45925925925925926,-0.17592592592592593,1,0,0,skipsq,0.003098726272583008,None,21.599713802337646,None,21.599713802337646,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,None,22.83368182182312,22.83368182182312,22.83368182182312,22.83368182182312,22.83368182182312,None,22.83368182182312,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.6,-0.2,0.2,0.6,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87353801727295,None,23.87353801727295,None,23.87353801727295,None,23.87353801727295,None,23.87353801727295,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.4,0.0,0.4,0.6,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.347635984420776,None,24.347635984420776,None,24.347635984420776,None,24.347635984420776,None,24.347635984420776,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.45,-0.05,0.35,0.6,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.864516973495483,None,24.864516973495483,None,24.864516973495483,None,24.864516973495483,None,24.864516973495483,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.55,-0.15,0.25,0.6,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.372994899749756,None,25.372994899749756,None,25.372994899749756,None,25.372994899749756,None,25.372994899749756,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.853554010391235,None,25.853554010391235,None,25.853554010391235,None,25.853554010391235,None,25.853554010391235,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.3,0.1,0.5,-0.6,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.382951021194458,None,26.382951021194458,None,26.382951021194458,None,26.382951021194458,None,26.382951021194458,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.5,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.845853805541992,None,26.845853805541992,None,26.845853805541992,None,26.845853805541992,None,26.845853805541992,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.35,0.05,0.45,-0.6,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36863398551941,None,27.36863398551941,None,27.36863398551941,None,27.36863398551941,None,27.36863398551941,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,-0.25,0.15,0.55,-0.6,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.853569984436035,None,27.853569984436035,None,27.853569984436035,None,27.853569984436035,None,27.853569984436035,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1554,untitled,2020.2.10,61.01586821294944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.402933835983276,None,28.402933835983276,None,28.402933835983276,None,28.402933835983276,None,28.402933835983276,None,28.402933835983276,None,28.402933835983276,None,,,,,,,
