rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,4.9402148723602295,None,5.967526912689209,None,5.967526912689209,5.967526912689209,5.967526912689209,5.967526912689209,5.967526912689209,5.967526912689209,5.967526912689209,None,5.967526912689209,5.967526912689209,5.967526912689209,None,5.967526912689209,5.967526912689209,0.014814814814814815,-0.2064814814814815,1,0,0,square_18,0.011244058609008789,None,20.428850889205933,None,20.428850889205933,20.428850889205933,20.428850889205933,20.428850889205933,20.428850889205933,20.428850889205933,20.428850889205933,None,20.428850889205933,20.428850889205933,20.428850889205933,None,20.428850889205933,20.428850889205933,20.428850889205933,20.428850889205933,21.449753999710083,None,21.449753999710083,21.449753999710083,21.449753999710083,21.449753999710083,21.449753999710083,21.449753999710083,21.449753999710083,None,21.449753999710083,21.449753999710083,0.010660409927368164,0.010660409927368164,21.449753999710083,None,None,21.449753999710083,21.449753999710083,-0.49722222222222223,-0.21296296296296297,1,0,0,tree1_4,0.010660409927368164,None,21.449753999710083,None,21.449753999710083,None,22.654035806655884,None,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,None,22.654035806655884,22.654035806655884,22.654035806655884,None,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,22.654035806655884,None,22.654035806655884,None,,,,,,,,,,,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,23.72719693183899,None,23.72719693183899,23.72719693183899,23.72719693183899,23.72719693183899,23.72719693183899,23.72719693183899,23.72719693183899,None,23.72719693183899,23.72719693183899,23.72719693183899,None,23.72719693183899,23.72719693183899,-0.025925925925925925,-0.21574074074074073,1,0,0,square_18,0.012034893035888672,None,24.28623390197754,None,24.28623390197754,24.28623390197754,24.28623390197754,24.28623390197754,24.28623390197754,24.28623390197754,24.28623390197754,None,24.28623390197754,24.28623390197754,24.28623390197754,None,24.28623390197754,24.28623390197754,24.28623390197754,24.28623390197754,25.31674885749817,None,25.31674885749817,25.31674885749817,25.31674885749817,25.31674885749817,25.31674885749817,25.31674885749817,25.31674885749817,None,25.31674885749817,25.31674885749817,0.004917621612548828,0.004917621612548828,25.31674885749817,None,None,25.31674885749817,25.31674885749817,-0.4925925925925926,-0.1675925925925926,1,0,0,tree1_4,0.004917621612548828,None,25.31674885749817,None,25.31674885749817,None,26.618969917297363,None,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,None,26.618969917297363,26.618969917297363,26.618969917297363,None,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,26.618969917297363,None,26.618969917297363,None,,,,,,,,,,,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
6.2,6.2,6.8,6.1,6.1,,,,,0,2,2,2,,,,,,,27.67408585548401,None,27.67408585548401,27.67408585548401,27.67408585548401,27.67408585548401,27.67408585548401,27.67408585548401,27.67408585548401,None,27.67408585548401,27.67408585548401,27.67408585548401,None,27.67408585548401,27.67408585548401,-0.004629629629629629,-0.20092592592592592,1,0,0,square_18,0.0015022754669189453,None,28.34032392501831,None,28.34032392501831,28.34032392501831,28.34032392501831,28.34032392501831,28.34032392501831,28.34032392501831,28.34032392501831,None,28.34032392501831,28.34032392501831,28.34032392501831,None,28.34032392501831,28.34032392501831,28.34032392501831,28.34032392501831,29.386271953582764,None,29.386271953582764,29.386271953582764,29.386271953582764,29.386271953582764,29.386271953582764,29.386271953582764,29.386271953582764,None,29.386271953582764,29.386271953582764,0.0020296573638916016,0.0020296573638916016,29.386271953582764,None,None,29.386271953582764,29.386271953582764,0.5009259259259259,-0.1925925925925926,1,0,0,skipsq,0.0020296573638916016,None,29.386271953582764,None,29.386271953582764,None,30.554214000701904,None,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,None,30.554214000701904,30.554214000701904,30.554214000701904,None,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,30.554214000701904,None,30.554214000701904,None,,,,,,,,,,,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.625176906585693,None,31.625176906585693,None,31.625176906585693,None,31.625176906585693,None,31.625176906585693,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.25,0.15,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.118974924087524,None,32.118974924087524,None,32.118974924087524,None,32.118974924087524,None,32.118974924087524,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.3,0.1,0.5,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.64169692993164,None,32.64169692993164,None,32.64169692993164,None,32.64169692993164,None,32.64169692993164,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.35,0.05,0.45,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.136497020721436,None,33.136497020721436,None,33.136497020721436,None,33.136497020721436,None,33.136497020721436,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.4,0.0,0.4,0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.621872901916504,None,33.621872901916504,None,33.621872901916504,None,33.621872901916504,None,33.621872901916504,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.45,-0.05,0.35,0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11553192138672,None,34.11553192138672,None,34.11553192138672,None,34.11553192138672,None,34.11553192138672,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
,,,,,-0.5,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63970685005188,None,34.63970685005188,None,34.63970685005188,None,34.63970685005188,None,34.63970685005188,None,,001,2021_Jul_27_1559,untitled,2020.2.10,59.876287482423145,
