rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,0,0,0,0,,,,,5.623218059539795,None,6.669095039367676,None,6.669095039367676,6.669095039367676,6.669095039367676,6.669095039367676,6.669095039367676,6.669095039367676,6.669095039367676,None,6.669095039367676,6.669095039367676,6.669095039367676,None,6.669095039367676,6.669095039367676,0.004629629629629629,-0.19444444444444445,1,0,0,square_18,0.008691072463989258,None,8.231880187988281,None,8.231880187988281,8.231880187988281,8.231880187988281,8.231880187988281,8.231880187988281,8.231880187988281,8.231880187988281,None,8.231880187988281,8.231880187988281,8.231880187988281,None,8.231880187988281,8.231880187988281,8.231880187988281,8.231880187988281,9.256030082702637,None,9.256030082702637,9.256030082702637,9.256030082702637,9.256030082702637,9.256030082702637,9.256030082702637,9.256030082702637,None,9.256030082702637,9.256030082702637,0.0003821849822998047,0.0003821849822998047,9.256030082702637,None,None,9.256030082702637,9.256030082702637,-0.4981481481481482,-0.18425925925925926,1,0,0,tree1_4,0.0003821849822998047,None,9.256030082702637,None,9.256030082702637,None,10.343703031539917,None,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,None,10.343703031539917,10.343703031539917,10.343703031539917,None,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,10.343703031539917,None,10.343703031539917,None,,,,,,,,,,,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,0,0,0,0,,,,,,,11.341483116149902,None,11.341483116149902,11.341483116149902,11.341483116149902,11.341483116149902,11.341483116149902,11.341483116149902,11.341483116149902,None,11.341483116149902,11.341483116149902,11.341483116149902,None,11.341483116149902,11.341483116149902,0.025,-0.21851851851851853,1,0,0,square_18,0.013070821762084961,None,11.92034101486206,None,11.92034101486206,11.92034101486206,11.92034101486206,11.92034101486206,11.92034101486206,11.92034101486206,11.92034101486206,None,11.92034101486206,11.92034101486206,11.92034101486206,None,11.92034101486206,11.92034101486206,11.92034101486206,11.92034101486206,12.936490058898926,None,12.936490058898926,12.936490058898926,12.936490058898926,12.936490058898926,12.936490058898926,12.936490058898926,12.936490058898926,None,12.936490058898926,12.936490058898926,0.0043299198150634766,0.0043299198150634766,12.936490058898926,None,None,12.936490058898926,12.936490058898926,0.4324074074074074,-0.20925925925925926,1,0,0,skipsq,0.0043299198150634766,None,12.936490058898926,None,12.936490058898926,None,14.06069016456604,None,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,None,14.06069016456604,14.06069016456604,14.06069016456604,None,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,14.06069016456604,None,14.06069016456604,None,,,,,,,,,,,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.2,0.2,0.6,-0.6,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.099374055862427,None,15.099374055862427,None,15.099374055862427,None,15.099374055862427,None,15.099374055862427,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.25,0.15,0.55,-0.6,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.588802099227905,None,15.588802099227905,None,15.588802099227905,None,15.588802099227905,None,15.588802099227905,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.3,0.1,0.5,-0.6,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.086841106414795,None,16.086841106414795,None,16.086841106414795,None,16.086841106414795,None,16.086841106414795,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.35,0.05,0.45,-0.6,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.585458040237427,None,16.585458040237427,None,16.585458040237427,None,16.585458040237427,None,16.585458040237427,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.4,0.0,0.4,0.6,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.072375059127808,None,17.072375059127808,None,17.072375059127808,None,17.072375059127808,None,17.072375059127808,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
,,,,,-0.45,-0.05,0.35,0.6,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57156014442444,None,17.57156014442444,None,17.57156014442444,None,17.57156014442444,None,17.57156014442444,None,,001,2021_Jul_27_1636,untitled,2020.2.10,59.89133523437177,
