rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,7.494890213012695,None,8.550195217132568,None,8.550195217132568,8.550195217132568,8.550195217132568,8.550195217132568,8.550195217132568,8.550195217132568,8.550195217132568,None,8.550195217132568,8.550195217132568,8.550195217132568,None,8.550195217132568,8.550195217132568,0.014814814814814815,-0.19814814814814816,1,0,0,square_18,0.004324436187744141,None,11.90903615951538,None,11.90903615951538,11.90903615951538,11.90903615951538,11.90903615951538,11.90903615951538,11.90903615951538,11.90903615951538,None,11.90903615951538,11.90903615951538,11.90903615951538,None,11.90903615951538,11.90903615951538,11.90903615951538,11.90903615951538,12.916137218475342,None,12.916137218475342,12.916137218475342,12.916137218475342,12.916137218475342,12.916137218475342,12.916137218475342,12.916137218475342,None,12.916137218475342,12.916137218475342,0.011631488800048828,0.011631488800048828,12.916137218475342,None,None,12.916137218475342,12.916137218475342,-0.47685185185185186,-0.1935185185185185,1,0,0,tree1_4,0.011631488800048828,None,12.916137218475342,None,12.916137218475342,None,14.350609064102173,None,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,None,14.350609064102173,14.350609064102173,14.350609064102173,None,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,14.350609064102173,None,14.350609064102173,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,15.363594055175781,None,15.363594055175781,15.363594055175781,15.363594055175781,15.363594055175781,15.363594055175781,15.363594055175781,15.363594055175781,None,15.363594055175781,15.363594055175781,15.363594055175781,None,15.363594055175781,15.363594055175781,0.000925925925925926,-0.19166666666666668,1,0,0,square_18,0.012939453125,None,15.935821056365967,None,15.935821056365967,15.935821056365967,15.935821056365967,15.935821056365967,15.935821056365967,15.935821056365967,15.935821056365967,None,15.935821056365967,15.935821056365967,15.935821056365967,None,15.935821056365967,15.935821056365967,15.935821056365967,15.935821056365967,16.96728801727295,None,16.96728801727295,16.96728801727295,16.96728801727295,16.96728801727295,16.96728801727295,16.96728801727295,16.96728801727295,None,16.96728801727295,16.96728801727295,0.012958765029907227,0.012958765029907227,16.96728801727295,None,None,16.96728801727295,16.96728801727295,0.46111111111111114,-0.18888888888888888,1,0,0,skipsq,0.012958765029907227,None,16.96728801727295,None,16.96728801727295,None,19.251946210861206,None,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,None,19.251946210861206,19.251946210861206,19.251946210861206,None,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,19.251946210861206,None,19.251946210861206,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.2,-0.6,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30648422241211,None,20.30648422241211,None,20.30648422241211,20.30648422241211,20.30648422241211,20.30648422241211,20.30648422241211,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.25,-0.6,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79423213005066,None,20.79423213005066,None,20.79423213005066,20.79423213005066,20.79423213005066,20.79423213005066,20.79423213005066,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.3,0.1,0.5,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.293131113052368,None,21.293131113052368,None,21.293131113052368,21.293131113052368,21.293131113052368,21.293131113052368,21.293131113052368,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.35,0.05,0.45,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.79428005218506,None,21.79428005218506,None,21.79428005218506,21.79428005218506,21.79428005218506,21.79428005218506,21.79428005218506,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.4,0.0,0.4,0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.287918090820312,None,22.287918090820312,None,22.287918090820312,22.287918090820312,22.287918090820312,22.287918090820312,22.287918090820312,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.6,-0.05,0.35,0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.753307104110718,None,22.753307104110718,None,22.753307104110718,22.753307104110718,22.753307104110718,22.753307104110718,22.753307104110718,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.6,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.252605199813843,None,23.252605199813843,None,23.252605199813843,23.252605199813843,23.252605199813843,23.252605199813843,23.252605199813843,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.6,-0.15,0.25,0.6,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.77835202217102,None,23.77835202217102,None,23.77835202217102,23.77835202217102,23.77835202217102,23.77835202217102,23.77835202217102,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,-0.6,-0.2,0.2,0.6,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.28513503074646,None,24.28513503074646,None,24.28513503074646,24.28513503074646,24.28513503074646,24.28513503074646,24.28513503074646,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1713,untitled,2020.2.10,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.795242071151733,None,24.795242071151733,None,24.795242071151733,None,24.795242071151733,None,24.795242071151733,None,24.795242071151733,None,24.795242071151733,None,,,,,,,
