rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,,,,,,,,,9.8959379196167,None,11.005421876907349,None,11.005421876907349,11.005421876907349,11.005421876907349,11.005421876907349,11.005421876907349,11.005421876907349,11.005421876907349,None,11.005421876907349,11.005421876907349,11.005421876907349,None,11.005421876907349,11.005421876907349,0.009259259259259259,-0.1935185185185185,1,0,0,circle1,0.0068891048431396484,None,14.474974870681763,None,14.474974870681763,14.474974870681763,14.474974870681763,14.474974870681763,14.474974870681763,14.474974870681763,14.474974870681763,None,14.474974870681763,14.474974870681763,14.474974870681763,None,14.474974870681763,14.474974870681763,14.474974870681763,14.474974870681763,15.517464876174927,None,15.517464876174927,15.517464876174927,15.517464876174927,15.517464876174927,15.517464876174927,15.517464876174927,15.517464876174927,None,15.517464876174927,15.517464876174927,0.0010666847229003906,0.0010666847229003906,15.517464876174927,None,None,15.517464876174927,15.517464876174927,-0.5185185185185185,-0.18796296296296297,1,0,0,tree1_4,0.0010666847229003906,None,15.517464876174927,None,15.517464876174927,None,17.028101921081543,None,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,None,17.028101921081543,17.028101921081543,17.028101921081543,None,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,17.028101921081543,None,17.028101921081543,None,,,,,,,,,,,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
7.1,6.9,7.1,6.6,6.8,,,0,1,1,1,,,,,,,,,,,18.056586980819702,None,18.056586980819702,18.056586980819702,18.056586980819702,18.056586980819702,18.056586980819702,18.056586980819702,18.056586980819702,None,18.056586980819702,18.056586980819702,18.056586980819702,None,18.056586980819702,18.056586980819702,0.007407407407407408,-0.23333333333333334,1,0,0,circle1,0.014037609100341797,None,18.40742588043213,None,18.40742588043213,18.40742588043213,18.40742588043213,18.40742588043213,18.40742588043213,18.40742588043213,18.40742588043213,None,18.40742588043213,18.40742588043213,18.40742588043213,None,18.40742588043213,18.40742588043213,18.40742588043213,18.40742588043213,19.42342495918274,None,19.42342495918274,19.42342495918274,19.42342495918274,19.42342495918274,19.42342495918274,19.42342495918274,19.42342495918274,None,19.42342495918274,19.42342495918274,0.005771636962890625,0.005771636962890625,19.42342495918274,None,None,19.42342495918274,19.42342495918274,-0.4777777777777778,-0.175,1,0,0,tree1_4,0.005771636962890625,None,19.42342495918274,None,19.42342495918274,None,20.700361013412476,None,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,None,20.700361013412476,20.700361013412476,20.700361013412476,None,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,20.700361013412476,None,20.700361013412476,None,,,,,,,,,,,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
6.2,6.2,6.8,6.1,6.1,,,0,2,2,2,,,,,,,,,,,21.731554985046387,None,21.731554985046387,21.731554985046387,21.731554985046387,21.731554985046387,21.731554985046387,21.731554985046387,21.731554985046387,None,21.731554985046387,21.731554985046387,21.731554985046387,None,21.731554985046387,21.731554985046387,0.021296296296296296,-0.18888888888888888,1,0,0,circle1,0.014607667922973633,None,23.53143882751465,None,23.53143882751465,23.53143882751465,23.53143882751465,23.53143882751465,23.53143882751465,23.53143882751465,23.53143882751465,None,23.53143882751465,23.53143882751465,23.53143882751465,None,23.53143882751465,23.53143882751465,23.53143882751465,23.53143882751465,24.549185037612915,None,24.549185037612915,24.549185037612915,24.549185037612915,24.549185037612915,24.549185037612915,24.549185037612915,24.549185037612915,None,24.549185037612915,24.549185037612915,0.003790616989135742,0.003790616989135742,24.549185037612915,None,None,24.549185037612915,24.549185037612915,0.47685185185185186,-0.20277777777777778,1,0,0,skipsq,0.003790616989135742,None,24.549185037612915,None,24.549185037612915,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.2,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.972606897354126,None,25.972606897354126,None,25.972606897354126,25.972606897354126,25.972606897354126,25.972606897354126,25.972606897354126,None,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.21,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,26.169214010238647,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.22,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,26.36856484413147,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.23,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,26.567814826965332,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.24,-0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,26.76326584815979,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.25,-0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,26.949893951416016,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
,,,,,-0.26,-0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,27.144137859344482,,001,2021_Jul_29_2246,untitled,2020.2.10,60.029425740080256,
