rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,tree1_20.started,tree1_20.stopped,tree2_20.started,tree2_20.stopped,tree3_20.started,tree3_20.stopped,tree4_20.started,tree4_20.stopped,circle.started,circle.stopped,forward_13.started,forward_13.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,circle6.started,circle6.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,circle_5.started,circle_5.stopped,reward_3.started,reward_3.stopped,forward_7.started,forward_7.stopped,sol_2.x,sol_2.y,sol_2.leftButton,sol_2.midButton,sol_2.rightButton,sol_2.clicked_name,sol_2.started,sol_2.stopped,skipsq_2.started,skipsq_2.stopped,gcircle_5.started,gcircle_5.stopped,tree1_21.started,tree1_21.stopped,tree2_21.started,tree2_21.stopped,tree3_21.started,tree3_21.stopped,tree4_21.started,tree4_21.stopped,circle_6.started,circle_6.stopped,reward_9.started,reward_9.stopped,forward_15.started,forward_15.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,0,0,0,0,,,,,,,,,4.836550951004028,None,5.974847078323364,None,5.974847078323364,5.974847078323364,5.974847078323364,5.974847078323364,5.974847078323364,5.974847078323364,5.974847078323364,None,5.974847078323364,5.974847078323364,5.974847078323364,None,5.974847078323364,5.974847078323364,0.008333333333333333,-0.21481481481481482,1,0,0,circle1,0.012563228607177734,None,6.987929105758667,None,6.987929105758667,6.987929105758667,6.987929105758667,6.987929105758667,6.987929105758667,6.987929105758667,6.987929105758667,None,6.987929105758667,6.987929105758667,6.987929105758667,None,6.987929105758667,6.987929105758667,6.987929105758667,6.987929105758667,8.005661964416504,None,8.005661964416504,8.005661964416504,8.005661964416504,8.005661964416504,8.005661964416504,8.005661964416504,8.005661964416504,None,8.005661964416504,8.005661964416504,0.00093841552734375,0.00093841552734375,8.005661964416504,None,None,8.005661964416504,8.005661964416504,-0.5064814814814815,-0.20277777777777778,1,0,0,tree1_4,0.00093841552734375,None,8.005661964416504,None,8.005661964416504,None,9.28394603729248,None,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,None,9.28394603729248,9.28394603729248,9.28394603729248,None,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,9.28394603729248,None,9.28394603729248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
7.1,6.9,7.1,6.6,6.8,,,0,0,0,0,0,1,1,1,,,,,,,,,,,10.28441309928894,None,10.28441309928894,10.28441309928894,10.28441309928894,10.28441309928894,10.28441309928894,10.28441309928894,10.28441309928894,None,10.28441309928894,10.28441309928894,10.28441309928894,None,10.28441309928894,10.28441309928894,-0.000925925925925926,-0.18703703703703703,1,0,0,circle1,0.014040470123291016,None,10.834296941757202,None,10.834296941757202,10.834296941757202,10.834296941757202,10.834296941757202,10.834296941757202,10.834296941757202,10.834296941757202,None,10.834296941757202,10.834296941757202,10.834296941757202,None,10.834296941757202,10.834296941757202,10.834296941757202,10.834296941757202,11.852468967437744,None,11.852468967437744,11.852468967437744,11.852468967437744,11.852468967437744,11.852468967437744,11.852468967437744,11.852468967437744,None,11.852468967437744,11.852468967437744,0.013936519622802734,0.013936519622802734,11.852468967437744,None,None,11.852468967437744,11.852468967437744,-0.48333333333333334,-0.21574074074074073,1,0,0,tree1_4,0.013936519622802734,None,11.852468967437744,None,11.852468967437744,None,13.147611141204834,None,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,None,13.147611141204834,13.147611141204834,13.147611141204834,None,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,13.147611141204834,None,13.147611141204834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
6.2,6.2,6.8,6.1,6.1,,,0,0,0,0,0,2,2,2,,,,,,,,,,,14.182640075683594,None,14.182640075683594,14.182640075683594,14.182640075683594,14.182640075683594,14.182640075683594,14.182640075683594,14.182640075683594,None,14.182640075683594,14.182640075683594,14.182640075683594,None,14.182640075683594,14.182640075683594,-0.000925925925925926,-0.20925925925925926,1,0,0,circle1,0.007962465286254883,None,15.17370891571045,None,15.17370891571045,15.17370891571045,15.17370891571045,15.17370891571045,15.17370891571045,15.17370891571045,15.17370891571045,None,15.17370891571045,15.17370891571045,15.17370891571045,None,15.17370891571045,15.17370891571045,15.17370891571045,15.17370891571045,16.20559811592102,None,16.20559811592102,16.20559811592102,16.20559811592102,16.20559811592102,16.20559811592102,16.20559811592102,16.20559811592102,None,16.20559811592102,16.20559811592102,0.013563394546508789,0.013563394546508789,16.20559811592102,None,None,16.20559811592102,16.20559811592102,-0.5009259259259259,-0.17777777777777778,1,0,0,tree1_4,0.013563394546508789,None,16.20559811592102,None,16.20559811592102,None,17.49532699584961,None,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,None,17.49532699584961,17.49532699584961,17.49532699584961,None,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,17.49532699584961,None,17.49532699584961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
5.9,5.8,6.3,5.8,5.8,,,0,0,0,0,0,3,3,3,,,,,,,,,,,18.49973702430725,None,18.49973702430725,18.49973702430725,18.49973702430725,18.49973702430725,18.49973702430725,18.49973702430725,18.49973702430725,None,18.49973702430725,18.49973702430725,18.49973702430725,None,18.49973702430725,18.49973702430725,-0.017592592592592594,-0.2037037037037037,1,0,0,circle1,0.014678239822387695,None,19.31017804145813,None,19.31017804145813,19.31017804145813,19.31017804145813,19.31017804145813,19.31017804145813,19.31017804145813,19.31017804145813,None,19.31017804145813,19.31017804145813,19.31017804145813,None,19.31017804145813,19.31017804145813,19.31017804145813,19.31017804145813,20.351900100708008,None,20.351900100708008,20.351900100708008,20.351900100708008,20.351900100708008,20.351900100708008,20.351900100708008,20.351900100708008,None,20.351900100708008,20.351900100708008,0.006098270416259766,0.006098270416259766,20.351900100708008,None,None,20.351900100708008,20.351900100708008,-0.42962962962962964,-0.20555555555555555,1,0,0,tree1_4,0.006098270416259766,None,20.351900100708008,None,20.351900100708008,None,21.897922039031982,None,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,None,21.897922039031982,21.897922039031982,21.897922039031982,None,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,21.897922039031982,None,21.897922039031982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
5.1,5.1,5.9,5.3,5.1,,,0,0,0,0,0,4,4,4,,,,,,,,,,,22.93559503555298,None,22.93559503555298,22.93559503555298,22.93559503555298,22.93559503555298,22.93559503555298,22.93559503555298,22.93559503555298,None,22.93559503555298,22.93559503555298,22.93559503555298,None,22.93559503555298,22.93559503555298,-0.016666666666666666,-0.1925925925925926,1,0,0,circle1,0.014651298522949219,None,23.53010892868042,None,23.53010892868042,23.53010892868042,23.53010892868042,23.53010892868042,23.53010892868042,23.53010892868042,23.53010892868042,None,23.53010892868042,23.53010892868042,23.53010892868042,None,23.53010892868042,23.53010892868042,23.53010892868042,23.53010892868042,24.578838109970093,None,24.578838109970093,24.578838109970093,24.578838109970093,24.578838109970093,24.578838109970093,24.578838109970093,24.578838109970093,None,24.578838109970093,24.578838109970093,0.0050046443939208984,0.0050046443939208984,24.578838109970093,None,None,24.578838109970093,24.578838109970093,0.4787037037037037,-0.18333333333333332,1,0,0,skipsq,0.0050046443939208984,None,24.578838109970093,None,24.578838109970093,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
,,,,,-0.2,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85225796699524,None,26.85225796699524,None,26.85225796699524,26.85225796699524,26.85225796699524,26.85225796699524,26.85225796699524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
,,,,,-0.21,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,27.037864923477173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
,,,,,-0.22,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,27.222825050354004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
,,,,,-0.23,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,27.41545009613037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
,,,,,-0.24,-0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,27.61347794532776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_2259,untitled,2020.2.10,60.075253339062556,
