rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,0,0,0,0,,,,,,,,,8.000319004058838,None,9.037126064300537,None,9.037126064300537,9.037126064300537,9.037126064300537,9.037126064300537,9.037126064300537,9.037126064300537,9.037126064300537,None,9.037126064300537,9.037126064300537,9.037126064300537,None,9.037126064300537,9.037126064300537,-0.005555555555555556,-0.2175925925925926,1,0,0,circle1,0.011111021041870117,None,10.313457012176514,None,10.313457012176514,10.313457012176514,10.313457012176514,10.313457012176514,10.313457012176514,10.313457012176514,10.313457012176514,None,10.313457012176514,10.313457012176514,10.313457012176514,None,10.313457012176514,10.313457012176514,10.313457012176514,10.313457012176514,11.348831176757812,None,11.348831176757812,11.348831176757812,11.348831176757812,11.348831176757812,11.348831176757812,11.348831176757812,11.348831176757812,None,11.348831176757812,11.348831176757812,0.009170770645141602,0.009170770645141602,11.348831176757812,None,None,11.348831176757812,11.348831176757812,-0.45740740740740743,-0.2212962962962963,1,0,0,tree1_4,0.009170770645141602,None,11.348831176757812,None,11.348831176757812,None,13.08794116973877,None,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,None,13.08794116973877,13.08794116973877,13.08794116973877,None,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,13.08794116973877,None,13.08794116973877,None,,,,,,,,,,,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,0,0,0,0,0,1,1,1,,,,,,,,,,,14.109801054000854,None,14.109801054000854,14.109801054000854,14.109801054000854,14.109801054000854,14.109801054000854,14.109801054000854,14.109801054000854,None,14.109801054000854,14.109801054000854,14.109801054000854,None,14.109801054000854,14.109801054000854,-0.020370370370370372,-0.18981481481481483,1,0,0,circle1,0.012812376022338867,None,14.677211046218872,None,14.677211046218872,14.677211046218872,14.677211046218872,14.677211046218872,14.677211046218872,14.677211046218872,14.677211046218872,None,14.677211046218872,14.677211046218872,14.677211046218872,None,14.677211046218872,14.677211046218872,14.677211046218872,14.677211046218872,15.694833040237427,None,15.694833040237427,15.694833040237427,15.694833040237427,15.694833040237427,15.694833040237427,15.694833040237427,15.694833040237427,None,15.694833040237427,15.694833040237427,0.007930755615234375,0.007930755615234375,15.694833040237427,None,None,15.694833040237427,15.694833040237427,-0.5203703703703704,-0.18888888888888888,1,0,0,tree1_4,0.007930755615234375,None,15.694833040237427,None,15.694833040237427,None,16.74365520477295,None,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,None,16.74365520477295,16.74365520477295,16.74365520477295,None,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,16.74365520477295,None,16.74365520477295,None,,,,,,,,,,,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,,,0,0,0,0,0,2,2,2,,,,,,,,,,,17.77808403968811,None,17.77808403968811,17.77808403968811,17.77808403968811,17.77808403968811,17.77808403968811,17.77808403968811,17.77808403968811,None,17.77808403968811,17.77808403968811,17.77808403968811,None,17.77808403968811,17.77808403968811,-0.005555555555555556,-0.20277777777777778,1,0,0,circle1,0.01099252700805664,None,18.33944010734558,None,18.33944010734558,18.33944010734558,18.33944010734558,18.33944010734558,18.33944010734558,18.33944010734558,18.33944010734558,None,18.33944010734558,18.33944010734558,18.33944010734558,None,18.33944010734558,18.33944010734558,18.33944010734558,18.33944010734558,19.365292072296143,None,19.365292072296143,19.365292072296143,19.365292072296143,19.365292072296143,19.365292072296143,19.365292072296143,19.365292072296143,None,19.365292072296143,19.365292072296143,0.003638744354248047,0.003638744354248047,19.365292072296143,None,None,19.365292072296143,19.365292072296143,0.4787037037037037,-0.22314814814814815,1,0,0,skipsq,0.003638744354248047,None,19.365292072296143,None,19.365292072296143,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.2,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.087852001190186,None,21.087852001190186,None,21.087852001190186,21.087852001190186,21.087852001190186,21.087852001190186,21.087852001190186,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.21,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,21.24587106704712,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.22,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,21.478924036026,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.23,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,21.672908067703247,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.24,-0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,21.86811399459839,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.25,-0.6,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,22.06274104118347,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.26,-0.6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,22.258323192596436,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
